EvCat,EvCode,EvData,LocCode,Latitude,Longitude
"1. LEVEL OF SERVICE","813","(Q sets of) roadworks. Queuing traffic for 3 km","10909","50.9524","7.0367"
"1. LEVEL OF SERVICE","716","(Q sets of) roadworks. Danger of stationary traffic","20280","49.2005","7.7497"
"1. LEVEL OF SERVICE","349","(Q) accident(s). Queuing traffic for 3 km","11024","51.7331","8.70535"
"4. INCIDENTS","212","(Q) broken down heavy lorr(y/ies)","11517","50.35875","7.484"
"4. INCIDENTS","212","(Q) broken down heavy lorr(y/ies)","11517","50.35875","7.484"
"11. ROADWORKS","703","(Q sets of) maintenance work","11854","49.2784","7.17775"
"1. LEVEL OF SERVICE","108","queuing traffic (with average speeds Q)","15343","47.9882","7.7444"
"3. ACCIDENTS","391","accident investigation work. Danger","20801","48.80075","9.27975"
"3. ACCIDENTS","391","accident investigation work. Danger","20801","48.80075","9.27975"
"3. ACCIDENTS","391","accident investigation work. Danger","20801","48.80075","9.27975"
"11. ROADWORKS","803","(Q sets of) construction work","5806","49.2799","7.0372"
"11. ROADWORKS","803","(Q sets of) construction work","5806","49.2799","7.0372"
"11. ROADWORKS","803","(Q sets of) construction work","5806","49.2799","7.0372"
"3. ACCIDENTS","203","multi-vehicle accident (involving Q vehicles)","12161","50.04995","8.293"
"5. CLOSURES AND LANE RESTRICTIONS","742","(Q sets of) roadworks. Single alternate line traffic","54762","48.7873","9.1511"
"5. CLOSURES AND LANE RESTRICTIONS","742","(Q sets of) roadworks. Single alternate line traffic","54762","48.7873","9.1511"
"1. LEVEL OF SERVICE","253","vehicles slowing to look at (Q) accident(s). Stationary traffic for 4 km","11024","51.7331","8.70535"
"1. LEVEL OF SERVICE","253","vehicles slowing to look at (Q) accident(s). Stationary traffic for 4 km","11024","51.7331","8.70535"
"23. DANGEROUS VEHICLES","804","(Q sets of) slow moving maintenance vehicles","20133","47.68062099","10.30105645"
"4. INCIDENTS","211","(Q) broken down vehicle(s)","17436","48.4996","7.9043"
"25. TRAFFIC EQUIPMENT STATUS","1802","emergency telephones not working","12636","47.9982","8.6057"
"25. TRAFFIC EQUIPMENT STATUS","1802","emergency telephones not working","12636","47.9982","8.6057"
"5. CLOSURES AND LANE RESTRICTIONS","401","closed","56747","49.4855","8.7971"
"5. CLOSURES AND LANE RESTRICTIONS","401","closed","56747","49.4855","8.7971"
"1. LEVEL OF SERVICE","106","stationary traffic for 10 km","56711","49.2573","8.6025"
"1. LEVEL OF SERVICE","106","stationary traffic for 10 km","56711","49.2573","8.6025"
"1. LEVEL OF SERVICE","253","vehicles slowing to look at (Q) accident(s). Stationary traffic for 4 km","10849","49.7488","9.84505"
"1. LEVEL OF SERVICE","253","vehicles slowing to look at (Q) accident(s). Stationary traffic for 4 km","10849","49.7488","9.84505"
"12. OBSTRUCTION HAZARDS","63","(Q) object(s) on the road. Danger","12550","48.40995498","10.59935337"
"12. OBSTRUCTION HAZARDS","63","(Q) object(s) on the road. Danger","12550","48.40995498","10.59935337"
"1. LEVEL OF SERVICE","110","queuing traffic for 2 km (with average speeds Q)","11943","49.96435","8.23905"
"1. LEVEL OF SERVICE","110","queuing traffic for 2 km (with average speeds Q)","11943","49.96435","8.23905"
"1. LEVEL OF SERVICE","108","queuing traffic (with average speeds Q)","11883","49.2758","8.6939"
"1. LEVEL OF SERVICE","108","queuing traffic (with average speeds Q)","11883","49.2758","8.6939"
"1. LEVEL OF SERVICE","108","queuing traffic (with average speeds Q)","11883","49.2758","8.6939"
"1. LEVEL OF SERVICE","108","queuing traffic (with average speeds Q)","11883","49.2758","8.6939"
"12. OBSTRUCTION HAZARDS","63","(Q) object(s) on the road. Danger","12171","50.0823","8.4864"
"12. OBSTRUCTION HAZARDS","63","(Q) object(s) on the road. Danger","12171","50.0823","8.4864"
"11. ROADWORKS","803","(Q sets of) construction work","15299","49.1934","9.2048"
"11. ROADWORKS","803","(Q sets of) construction work","15299","49.1934","9.2048"
"1. LEVEL OF SERVICE","103","stationary traffic for 2 km","25429","49.87115","8.34405"
"5. CLOSURES AND LANE RESTRICTIONS","665","both directions closed","20281","49.22455","7.91235"
"5. CLOSURES AND LANE RESTRICTIONS","665","both directions closed","20281","49.22455","7.91235"
"1. LEVEL OF SERVICE","813","(Q sets of) roadworks. Queuing traffic for 3 km","10909","50.9524","7.0367"
"1. LEVEL OF SERVICE","813","(Q sets of) roadworks. Queuing traffic for 3 km","10909","50.9524","7.0367"
"1. LEVEL OF SERVICE","813","(Q sets of) roadworks. Queuing traffic for 3 km","10909","50.9524","7.0367"
"1. LEVEL OF SERVICE","129","stationary traffic for 3 km","11560","47.5966","7.60355"
"4. INCIDENTS","212","(Q) broken down heavy lorr(y/ies)","11517","50.35875","7.484"
"4. INCIDENTS","212","(Q) broken down heavy lorr(y/ies)","11517","50.35875","7.484"
"4. INCIDENTS","212","(Q) broken down heavy lorr(y/ies)","11517","50.35875","7.484"
"11. ROADWORKS","809","(Q sets of) work on buried services","36986","49.7243","8.61245"
"11. ROADWORKS","809","(Q sets of) work on buried services","36986","49.7243","8.61245"
"1. LEVEL OF SERVICE","108","queuing traffic (with average speeds Q)","11938","50.0024","8.1124"
"11. ROADWORKS","703","(Q sets of) maintenance work","11854","49.2784","7.17775"
"11. ROADWORKS","703","(Q sets of) maintenance work","11854","49.2784","7.17775"
"11. ROADWORKS","703","(Q sets of) maintenance work","11854","49.2784","7.17775"
"1. LEVEL OF SERVICE","108","queuing traffic (with average speeds Q)","15343","47.9882","7.7444"
"1. LEVEL OF SERVICE","108","queuing traffic (with average speeds Q)","15343","47.9882","7.7444"
"11. ROADWORKS","803","(Q sets of) construction work","5806","49.2799","7.0372"
"3. ACCIDENTS","203","multi-vehicle accident (involving Q vehicles)","12161","50.04995","8.293"
"3. ACCIDENTS","203","multi-vehicle accident (involving Q vehicles)","12161","50.04995","8.293"
"5. CLOSURES AND LANE RESTRICTIONS","742","(Q sets of) roadworks. Single alternate line traffic","54762","48.7873","9.1511"
"5. CLOSURES AND LANE RESTRICTIONS","742","(Q sets of) roadworks. Single alternate line traffic","54762","48.7873","9.1511"
"1. LEVEL OF SERVICE","253","vehicles slowing to look at (Q) accident(s). Stationary traffic for 4 km","11024","51.7331","8.70535"
"1. LEVEL OF SERVICE","253","vehicles slowing to look at (Q) accident(s). Stationary traffic for 4 km","11024","51.7331","8.70535"
"1. LEVEL OF SERVICE","253","vehicles slowing to look at (Q) accident(s). Stationary traffic for 4 km","11024","51.7331","8.70535"
"23. DANGEROUS VEHICLES","804","(Q sets of) slow moving maintenance vehicles","20133","47.68062099","10.30105645"
"23. DANGEROUS VEHICLES","804","(Q sets of) slow moving maintenance vehicles","20133","47.68062099","10.30105645"
"4. INCIDENTS","211","(Q) broken down vehicle(s)","17436","48.4996","7.9043"
"25. TRAFFIC EQUIPMENT STATUS","1802","emergency telephones not working","12636","47.9982","8.6057"
"5. CLOSURES AND LANE RESTRICTIONS","401","closed","56747","49.4855","8.7971"
"1. LEVEL OF SERVICE","106","stationary traffic for 10 km","56711","49.2573","8.6025"
"11. ROADWORKS","707","bridge maintenance work (at Q bridges)","17442","47.58887105","7.786625982"
"1. LEVEL OF SERVICE","253","vehicles slowing to look at (Q) accident(s). Stationary traffic for 4 km","10849","49.7488","9.84505"
"12. OBSTRUCTION HAZARDS","971","message cancelled","12550","48.40995498","10.59935337"
"1. LEVEL OF SERVICE","110","queuing traffic for 2 km (with average speeds Q)","11943","49.96435","8.23905"
"1. LEVEL OF SERVICE","110","queuing traffic for 2 km (with average speeds Q)","11943","49.96435","8.23905"
"1. LEVEL OF SERVICE","110","queuing traffic for 2 km (with average speeds Q)","11943","49.96435","8.23905"
"1. LEVEL OF SERVICE","103","stationary traffic for 2 km","25429","49.87115","8.34405"
"5. CLOSURES AND LANE RESTRICTIONS","665","both directions closed","20281","49.22455","7.91235"
"1. LEVEL OF SERVICE","813","(Q sets of) roadworks. Queuing traffic for 3 km","10909","50.9524","7.0367"
"1. LEVEL OF SERVICE","129","stationary traffic for 3 km","11560","47.5966","7.60355"
"1. LEVEL OF SERVICE","716","(Q sets of) roadworks. Danger of stationary traffic","20280","49.2005","7.7497"
"1. LEVEL OF SERVICE","716","(Q sets of) roadworks. Danger of stationary traffic","20280","49.2005","7.7497"
"1. LEVEL OF SERVICE","349","(Q) accident(s). Queuing traffic for 3 km","11024","51.7331","8.70535"
"4. INCIDENTS","212","(Q) broken down heavy lorr(y/ies)","11517","50.35875","7.484"
"20. DELAYS","1602","delays up to 15 minutes","57886","48.9091","8.6896"
"20. DELAYS","1602","delays up to 15 minutes","57886","48.9091","8.6896"
"20. DELAYS","1602","delays up to 15 minutes","57886","48.9091","8.6896"
"11. ROADWORKS","809","(Q sets of) work on buried services","36986","49.7243","8.61245"
"1. LEVEL OF SERVICE","108","queuing traffic (with average speeds Q)","11938","50.0024","8.1124"
"11. ROADWORKS","703","(Q sets of) maintenance work","11854","49.2784","7.17775"
"3. ACCIDENTS","391","accident investigation work. Danger","20801","48.80075","9.27975"
"11. ROADWORKS","803","(Q sets of) construction work","5806","49.2799","7.0372"
"11. ROADWORKS","803","(Q sets of) construction work","5806","49.2799","7.0372"
"3. ACCIDENTS","203","multi-vehicle accident (involving Q vehicles)","12161","50.04995","8.293"
"12. OBSTRUCTION HAZARDS","971","message cancelled","12171","50.0823","8.4864"
"5. CLOSURES AND LANE RESTRICTIONS","742","(Q sets of) roadworks. Single alternate line traffic","54762","48.7873","9.1511"
"5. CLOSURES AND LANE RESTRICTIONS","742","(Q sets of) roadworks. Single alternate line traffic","54762","48.7873","9.1511"
"1. LEVEL OF SERVICE","108","queuing traffic (with average speeds Q)","15343","47.9882","7.7444"
"1. LEVEL OF SERVICE","108","queuing traffic (with average speeds Q)","15343","47.9882","7.7444"
"1. LEVEL OF SERVICE","108","queuing traffic (with average speeds Q)","15343","47.9882","7.7444"
"23. DANGEROUS VEHICLES","804","(Q sets of) slow moving maintenance vehicles","20133","47.68062099","10.30105645"
"23. DANGEROUS VEHICLES","804","(Q sets of) slow moving maintenance vehicles","20133","47.68062099","10.30105645"
"25. TRAFFIC EQUIPMENT STATUS","1802","emergency telephones not working","12636","47.9982","8.6057"
"5. CLOSURES AND LANE RESTRICTIONS","401","closed","56747","49.4855","8.7971"
"1. LEVEL OF SERVICE","106","stationary traffic for 10 km","56711","49.2573","8.6025"
"1. LEVEL OF SERVICE","106","stationary traffic for 10 km","56711","49.2573","8.6025"
"11. ROADWORKS","803","(Q sets of) construction work","11599","49.2269","8.6033"
"11. ROADWORKS","803","(Q sets of) construction work","11599","49.2269","8.6033"
"11. ROADWORKS","707","bridge maintenance work (at Q bridges)","17442","47.58887105","7.786625982"
"1. LEVEL OF SERVICE","253","vehicles slowing to look at (Q) accident(s). Stationary traffic for 4 km","10849","49.7488","9.84505"
"1. LEVEL OF SERVICE","253","vehicles slowing to look at (Q) accident(s). Stationary traffic for 4 km","10849","49.7488","9.84505"
"1. LEVEL OF SERVICE","108","queuing traffic (with average speeds Q)","11883","49.2758","8.6939"
"1. LEVEL OF SERVICE","108","queuing traffic (with average speeds Q)","11883","49.2758","8.6939"
"11. ROADWORKS","803","(Q sets of) construction work","15299","49.1934","9.2048"
"11. ROADWORKS","803","(Q sets of) construction work","15299","49.1934","9.2048"
"1. LEVEL OF SERVICE","103","stationary traffic for 2 km","25429","49.87115","8.34405"
"5. CLOSURES AND LANE RESTRICTIONS","665","both directions closed","20281","49.22455","7.91235"
"5. CLOSURES AND LANE RESTRICTIONS","665","both directions closed","20281","49.22455","7.91235"
"1. LEVEL OF SERVICE","712","(Q sets of) roadworks. Stationary traffic for 2 km","20301","48.80545","9.2105"
"1. LEVEL OF SERVICE","712","(Q sets of) roadworks. Stationary traffic for 2 km","20301","48.80545","9.2105"
"1. LEVEL OF SERVICE","813","(Q sets of) roadworks. Queuing traffic for 3 km","10909","50.9524","7.0367"
"1. LEVEL OF SERVICE","129","stationary traffic for 3 km","11560","47.5966","7.60355"
"1. LEVEL OF SERVICE","716","(Q sets of) roadworks. Danger of stationary traffic","20280","49.2005","7.7497"
"1. LEVEL OF SERVICE","716","(Q sets of) roadworks. Danger of stationary traffic","20280","49.2005","7.7497"
"20. DELAYS","1602","delays up to 15 minutes","57886","48.9091","8.6896"
"20. DELAYS","1602","delays up to 15 minutes","57886","48.9091","8.6896"
"20. DELAYS","1602","delays up to 15 minutes","57886","48.9091","8.6896"
"11. ROADWORKS","809","(Q sets of) work on buried services","36986","49.7243","8.61245"
"11. ROADWORKS","809","(Q sets of) work on buried services","36986","49.7243","8.61245"
"11. ROADWORKS","809","(Q sets of) work on buried services","36986","49.7243","8.61245"
"1. LEVEL OF SERVICE","108","queuing traffic (with average speeds Q)","11938","50.0024","8.1124"
"1. LEVEL OF SERVICE","108","queuing traffic (with average speeds Q)","11938","50.0024","8.1124"
"11. ROADWORKS","703","(Q sets of) maintenance work","11854","49.2784","7.17775"
"11. ROADWORKS","703","(Q sets of) maintenance work","11854","49.2784","7.17775"
"11. ROADWORKS","803","(Q sets of) construction work","5806","49.2799","7.0372"
"11. ROADWORKS","803","(Q sets of) construction work","5806","49.2799","7.0372"
"3. ACCIDENTS","203","multi-vehicle accident (involving Q vehicles)","12161","50.04995","8.293"
"3. ACCIDENTS","203","multi-vehicle accident (involving Q vehicles)","12161","50.04995","8.293"
"3. ACCIDENTS","203","multi-vehicle accident (involving Q vehicles)","12161","50.04995","8.293"
"5. CLOSURES AND LANE RESTRICTIONS","742","(Q sets of) roadworks. Single alternate line traffic","54762","48.7873","9.1511"
"1. LEVEL OF SERVICE","108","queuing traffic (with average speeds Q)","15343","47.9882","7.7444"
"23. DANGEROUS VEHICLES","804","(Q sets of) slow moving maintenance vehicles","20133","47.68062099","10.30105645"
"23. DANGEROUS VEHICLES","804","(Q sets of) slow moving maintenance vehicles","20133","47.68062099","10.30105645"
"4. INCIDENTS","211","(Q) broken down vehicle(s)","17436","48.4996","7.9043"
"4. INCIDENTS","211","(Q) broken down vehicle(s)","17436","48.4996","7.9043"
"25. TRAFFIC EQUIPMENT STATUS","1802","emergency telephones not working","12636","47.9982","8.6057"
"25. TRAFFIC EQUIPMENT STATUS","1802","emergency telephones not working","12636","47.9982","8.6057"
"25. TRAFFIC EQUIPMENT STATUS","1802","emergency telephones not working","12636","47.9982","8.6057"
"5. CLOSURES AND LANE RESTRICTIONS","401","closed","56747","49.4855","8.7971"
"5. CLOSURES AND LANE RESTRICTIONS","401","closed","56747","49.4855","8.7971"
"1. LEVEL OF SERVICE","106","stationary traffic for 10 km","56711","49.2573","8.6025"
"1. LEVEL OF SERVICE","106","stationary traffic for 10 km","56711","49.2573","8.6025"
"11. ROADWORKS","707","bridge maintenance work (at Q bridges)","17442","47.58887105","7.786625982"
"11. ROADWORKS","707","bridge maintenance work (at Q bridges)","17442","47.58887105","7.786625982"
"1. LEVEL OF SERVICE","253","vehicles slowing to look at (Q) accident(s). Stationary traffic for 4 km","10849","49.7488","9.84505"
"1. LEVEL OF SERVICE","253","vehicles slowing to look at (Q) accident(s). Stationary traffic for 4 km","10849","49.7488","9.84505"
"1. LEVEL OF SERVICE","110","queuing traffic for 2 km (with average speeds Q)","11943","49.96435","8.23905"
"1. LEVEL OF SERVICE","110","queuing traffic for 2 km (with average speeds Q)","11943","49.96435","8.23905"
"1. LEVEL OF SERVICE","108","queuing traffic (with average speeds Q)","11883","49.2758","8.6939"
"11. ROADWORKS","803","(Q sets of) construction work","15299","49.1934","9.2048"
"11. ROADWORKS","803","(Q sets of) construction work","15299","49.1934","9.2048"
"12. OBSTRUCTION HAZARDS","63","(Q) object(s) on the road. Danger","12678","49.7258","9.8253"
"12. OBSTRUCTION HAZARDS","63","(Q) object(s) on the road. Danger","12678","49.7258","9.8253"
"1. LEVEL OF SERVICE","103","stationary traffic for 2 km","25429","49.87115","8.34405"
"1. LEVEL OF SERVICE","103","stationary traffic for 2 km","25429","49.87115","8.34405"
"1. LEVEL OF SERVICE","712","(Q sets of) roadworks. Stationary traffic for 2 km","20301","48.80545","9.2105"
"1. LEVEL OF SERVICE","813","(Q sets of) roadworks. Queuing traffic for 3 km","10909","50.9524","7.0367"
"1. LEVEL OF SERVICE","813","(Q sets of) roadworks. Queuing traffic for 3 km","10909","50.9524","7.0367"
"1. LEVEL OF SERVICE","129","stationary traffic for 3 km","11560","47.5966","7.60355"
"1. LEVEL OF SERVICE","129","stationary traffic for 3 km","11560","47.5966","7.60355"
"1. LEVEL OF SERVICE","716","(Q sets of) roadworks. Danger of stationary traffic","20280","49.2005","7.7497"
"4. INCIDENTS","212","(Q) broken down heavy lorr(y/ies)","11517","50.35875","7.484"
"4. INCIDENTS","212","(Q) broken down heavy lorr(y/ies)","11517","50.35875","7.484"
"11. ROADWORKS","809","(Q sets of) work on buried services","36986","49.7243","8.61245"
"11. ROADWORKS","809","(Q sets of) work on buried services","36986","49.7243","8.61245"
"11. ROADWORKS","809","(Q sets of) work on buried services","36986","49.7243","8.61245"
"11. ROADWORKS","703","(Q sets of) maintenance work","11854","49.2784","7.17775"
"3. ACCIDENTS","391","accident investigation work. Danger","20801","48.80075","9.27975"
"11. ROADWORKS","803","(Q sets of) construction work","5806","49.2799","7.0372"
"23. DANGEROUS VEHICLES","804","(Q sets of) slow moving maintenance vehicles","20133","47.68062099","10.30105645"
"23. DANGEROUS VEHICLES","804","(Q sets of) slow moving maintenance vehicles","20133","47.68062099","10.30105645"
"25. TRAFFIC EQUIPMENT STATUS","1802","emergency telephones not working","12636","47.9982","8.6057"
"25. TRAFFIC EQUIPMENT STATUS","1802","emergency telephones not working","12636","47.9982","8.6057"
"20. DELAYS","1620","message cancelled","57886","48.9091","8.6896"
"20. DELAYS","1620","message cancelled","57886","48.9091","8.6896"
"1. LEVEL OF SERVICE","111","queuing traffic for 4 km (with average speeds Q)","57886","48.9091","8.6896"
"5. CLOSURES AND LANE RESTRICTIONS","401","closed","56747","49.4855","8.7971"
"5. CLOSURES AND LANE RESTRICTIONS","401","closed","56747","49.4855","8.7971"
"1. LEVEL OF SERVICE","106","stationary traffic for 10 km","56711","49.2573","8.6025"
"1. LEVEL OF SERVICE","106","stationary traffic for 10 km","56711","49.2573","8.6025"
"11. ROADWORKS","707","bridge maintenance work (at Q bridges)","17442","47.58887105","7.786625982"
"11. ROADWORKS","707","bridge maintenance work (at Q bridges)","17442","47.58887105","7.786625982"
"1. LEVEL OF SERVICE","253","vehicles slowing to look at (Q) accident(s). Stationary traffic for 4 km","10849","49.7488","9.84505"
"1. LEVEL OF SERVICE","253","vehicles slowing to look at (Q) accident(s). Stationary traffic for 4 km","10849","49.7488","9.84505"
"1. LEVEL OF SERVICE","253","vehicles slowing to look at (Q) accident(s). Stationary traffic for 4 km","10849","49.7488","9.84505"
"1. LEVEL OF SERVICE","253","vehicles slowing to look at (Q) accident(s). Stationary traffic for 4 km","10849","49.7488","9.84505"
"1. LEVEL OF SERVICE","110","queuing traffic for 2 km (with average speeds Q)","11943","49.96435","8.23905"
"1. LEVEL OF SERVICE","110","queuing traffic for 2 km (with average speeds Q)","11943","49.96435","8.23905"
"1. LEVEL OF SERVICE","110","queuing traffic for 2 km (with average speeds Q)","11943","49.96435","8.23905"
"1. LEVEL OF SERVICE","108","queuing traffic (with average speeds Q)","11883","49.2758","8.6939"
"11. ROADWORKS","803","(Q sets of) construction work","15299","49.1934","9.2048"
"11. ROADWORKS","803","(Q sets of) construction work","15299","49.1934","9.2048"
"12. OBSTRUCTION HAZARDS","63","(Q) object(s) on the road. Danger","12678","49.7258","9.8253"
"12. OBSTRUCTION HAZARDS","63","(Q) object(s) on the road. Danger","12678","49.7258","9.8253"
"5. CLOSURES AND LANE RESTRICTIONS","665","both directions closed","20281","49.22455","7.91235"
"1. LEVEL OF SERVICE","712","(Q sets of) roadworks. Stationary traffic for 2 km","20301","48.80545","9.2105"
"1. LEVEL OF SERVICE","712","(Q sets of) roadworks. Stationary traffic for 2 km","20301","48.80545","9.2105"
"1. LEVEL OF SERVICE","712","(Q sets of) roadworks. Stationary traffic for 2 km","20301","48.80545","9.2105"
"1. LEVEL OF SERVICE","813","(Q sets of) roadworks. Queuing traffic for 3 km","10909","50.9524","7.0367"
"1. LEVEL OF SERVICE","813","(Q sets of) roadworks. Queuing traffic for 3 km","10909","50.9524","7.0367"
"1. LEVEL OF SERVICE","129","stationary traffic for 3 km","11560","47.5966","7.60355"
"1. LEVEL OF SERVICE","129","stationary traffic for 3 km","11560","47.5966","7.60355"
"1. LEVEL OF SERVICE","716","(Q sets of) roadworks. Danger of stationary traffic","20280","49.2005","7.7497"
"1. LEVEL OF SERVICE","349","(Q) accident(s). Queuing traffic for 3 km","11024","51.7331","8.70535"
"4. INCIDENTS","212","(Q) broken down heavy lorr(y/ies)","11517","50.35875","7.484"
"4. INCIDENTS","212","(Q) broken down heavy lorr(y/ies)","11517","50.35875","7.484"
"11. ROADWORKS","801","message cancelled","11854","49.2784","7.17775"
"11. ROADWORKS","801","message cancelled","11854","49.2784","7.17775"
"1. LEVEL OF SERVICE","108","queuing traffic (with average speeds Q)","11938","50.0024","8.1124"
"1. LEVEL OF SERVICE","108","queuing traffic (with average speeds Q)","11938","50.0024","8.1124"
"1. LEVEL OF SERVICE","111","queuing traffic for 4 km (with average speeds Q)","10910","50.96675","7.03125"
"3. ACCIDENTS","391","accident investigation work. Danger","20801","48.80075","9.27975"
